Timestamp,Humidity (%),Temperature (°C)
2024-08-09 02:20:18,52.9,22.9
2024-08-09 02:20:20,52.7,22.9
2024-08-09 02:20:22,52.8,22.9
2024-08-09 02:20:24,52.8,23.0
2024-08-09 02:20:26,52.6,23.0
2024-08-09 02:20:29,52.8,23.0
2024-08-09 02:20:31,52.8,23.0
2024-08-09 02:20:33,52.7,23.0
2024-08-09 02:20:35,52.8,23.0
2024-08-09 02:20:37,52.7,23.0
2024-08-09 02:20:39,52.8,23.0
2024-08-09 02:20:42,52.7,23.0
2024-08-09 02:20:44,52.6,23.0
2024-08-09 02:20:46,52.6,23.0
2024-08-09 02:20:48,52.7,23.0
2024-08-09 02:20:51,52.6,23.0
2024-08-09 02:20:53,52.6,23.0
2024-08-09 02:20:55,52.6,23.0
2024-08-09 02:20:57,52.6,23.0
2024-08-09 02:21:00,52.7,23.0
2024-08-09 02:21:01,52.6,23.0
2024-08-09 02:21:04,52.7,23.0
2024-08-09 02:21:06,52.7,23.0
2024-08-09 02:21:08,52.5,23.0
2024-08-09 02:21:10,52.7,23.0
2024-08-09 02:21:13,52.6,23.0
2024-08-09 02:21:14,52.6,23.0
2024-08-09 02:21:17,52.9,23.0
2024-08-09 02:21:19,52.6,23.0
2024-08-09 02:21:21,52.6,23.0
2024-08-09 02:21:23,52.7,23.0
2024-08-09 02:21:26,52.6,23.0
2024-08-09 02:21:28,52.7,23.0
2024-08-09 02:21:30,52.7,23.0
2024-08-09 02:21:32,52.7,23.0
2024-08-09 02:21:34,52.8,23.0
2024-08-09 02:21:36,52.7,23.0
2024-08-09 02:21:39,52.6,23.0
2024-08-09 02:21:41,52.5,23.0
2024-08-09 02:21:43,52.5,23.0
2024-08-09 02:21:45,52.6,23.0
2024-08-09 02:21:48,52.6,23.0
2024-08-09 02:21:49,52.4,23.0
2024-08-09 02:21:52,52.5,23.0
2024-08-09 02:21:54,52.5,23.0
2024-08-09 02:21:56,52.6,23.0
2024-08-09 02:21:58,52.6,23.0
2024-08-09 02:22:00,52.5,23.0
2024-08-09 02:22:02,52.5,23.0
2024-08-09 02:22:05,52.5,22.9
2024-08-09 02:22:07,52.6,23.0
2024-08-09 02:22:09,52.3,23.0
2024-08-09 02:22:11,52.5,23.0
2024-08-09 02:22:14,52.5,23.0
2024-08-09 02:22:16,52.5,23.0
2024-08-09 02:22:18,52.4,23.0
2024-08-09 02:22:20,52.5,23.0
2024-08-09 02:22:22,52.4,23.0
2024-08-09 02:22:24,52.5,23.0
2024-08-09 02:22:27,52.5,23.0
2024-08-09 02:22:29,52.6,23.0
2024-08-09 02:22:31,52.4,22.9
2024-08-09 02:22:33,52.5,23.0
2024-08-09 02:22:36,52.6,23.0
2024-08-09 02:22:38,52.5,23.0
2024-08-09 02:22:40,52.6,23.0
2024-08-09 02:22:42,52.4,22.9
2024-08-09 02:22:44,52.5,22.9
2024-08-09 02:22:46,52.5,23.0
2024-08-09 02:22:49,52.4,22.9
2024-08-09 02:22:50,52.3,22.9
2024-08-09 02:22:53,52.5,23.0
2024-08-09 02:22:55,52.4,23.0
2024-08-09 02:22:57,52.5,22.9
2024-08-09 02:22:59,52.5,23.0
2024-08-09 02:23:02,52.5,22.9
2024-08-09 02:23:03,52.4,22.9
2024-08-09 02:23:06,52.5,23.0
2024-08-09 02:23:08,52.5,22.9
2024-08-09 02:23:10,52.5,22.9
2024-08-09 02:23:12,52.5,22.9
2024-08-09 02:23:15,52.6,22.9
2024-08-09 02:23:16,52.6,22.9
2024-08-09 02:23:19,52.4,22.9
2024-08-09 02:23:21,52.5,22.9
2024-08-09 02:23:23,52.5,22.9
2024-08-09 02:23:25,52.7,22.9
2024-08-09 02:23:27,52.5,22.9
2024-08-09 02:23:29,52.5,22.9
2024-08-09 02:23:32,52.5,22.9
2024-08-09 02:23:34,52.5,22.9
2024-08-09 02:23:36,52.5,22.9
2024-08-09 02:23:38,52.5,22.9
2024-08-09 02:23:41,52.5,22.9
2024-08-09 02:23:43,52.6,22.9
2024-08-09 02:23:45,52.5,22.9
2024-08-09 02:23:47,52.6,22.9
2024-08-09 02:23:49,52.5,22.9
2024-08-09 02:23:51,52.5,22.9
2024-08-09 02:23:54,52.5,22.9
2024-08-09 02:23:56,52.5,22.9
2024-08-09 02:23:58,52.6,22.9
2024-08-09 02:24:00,52.6,22.9
2024-08-09 02:24:02,52.5,22.9
2024-08-09 02:24:04,52.5,22.9
2024-08-09 02:24:07,52.5,22.9
2024-08-09 02:24:09,52.7,22.9
2024-08-09 02:24:11,52.7,22.9
2024-08-09 02:24:13,52.7,22.9
2024-08-09 02:24:16,52.6,22.9
2024-08-09 02:24:18,52.5,22.9
2024-08-09 02:24:20,52.6,22.9
2024-08-09 02:24:22,52.6,22.9
2024-08-09 02:24:24,52.5,22.9
2024-08-09 02:24:26,52.5,22.9
2024-08-09 02:24:29,52.6,22.9
2024-08-09 02:24:30,52.6,22.9
2024-08-09 02:24:33,52.5,22.9
2024-08-09 02:24:35,52.6,22.9
2024-08-09 02:24:37,52.5,22.9
2024-08-09 02:24:39,52.5,22.9
2024-08-09 02:24:41,52.5,22.9
2024-08-09 02:24:43,52.5,22.9
2024-08-09 02:24:46,52.6,22.9
2024-08-09 02:24:48,52.6,22.9
